time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.92922816112e-08,-9.0916490799e-08,10.0029109263,6.28295530695,6.28299910388,0.0,1.15568666272e-05,-1.3306247851e-05,0.0970268309812,-0.0128837154395,-0.0101729908597,0.0,435.99769624766793,435.1471484978251,436.87573225835143,435.8004282335604
0.12000000000000001,6.66585466699e-06,-8.15696915358e-06,10.0104481458,6.28212246192,6.28216346992,0.0,0.000275567939223,-0.000332301413087,0.154207229531,-0.0159532669075,-0.0227545110842,0.0,423.86981803314876,422.78747716021235,423.02705953535764,422.7628071264157
0.18,4.91047734968e-05,-5.44450196308e-05,10.0233904285,6.28129568844,6.28167447503,0.0,0.00122654514237,-0.00130429611684,0.2771793894,-0.00975266656884,0.0113604674502,0.0,442.718342426855,445.5160127452889,443.9606016649345,444.4690873212486
0.23999999999999996,0.000150704861678,-0.000173144274336,10.0425612813,6.28045689391,6.28229497566,0.0,0.00209507426491,-0.00272158232225,0.361825365689,-0.0241649656374,0.00822201729521,0.0,433.19120162605117,432.9271349071405,431.74063366980783,430.5232109372496
0.3,0.000289778731751,-0.000386339787553,10.0636402797,6.27993948238,6.28305983926,0.0,0.00248676395986,-0.00445864256917,0.340814466769,0.0117248207301,0.0205354394858,0.0,395.93835312286797,397.0693154832083,395.4368731379882,398.7287084635897
0.36000000000000004,0.000436203063626,-0.000721874380448,10.0882491925,6.28058869008,0.00154110499328,0.0,0.00223474798714,-0.00665276408108,0.479434213093,0.00894642031238,0.0393165291625,0.0,448.79864664228427,450.3203677710506,448.81425826401545,448.58861230431586
0.4200000000000001,0.000527055746955,-0.00117538788395,10.1211625488,6.28123817037,0.00400967741783,0.0,0.00053368551073,-0.00840007576668,0.617612147255,0.0143388446438,0.0445650494235,0.0,449.4251026798843,449.85110889227366,448.36894195742894,448.8066336044177
0.48000000000000015,0.000461953060808,-0.0017177852185,10.1621424812,6.28228846432,0.00648451697316,0.0,-0.00297879411763,-0.0095772183045,0.748307470486,0.0231845871733,0.0336145974445,0.0,446.55311398743044,445.65996827824307,447.4319018567696,448.15130515973635
0.5400000000000001,0.000116746838686,-0.00230663334777,10.2136733516,0.00129332671107,0.0083184492289,0.0,-0.00875883341629,-0.00982627255189,0.969225432799,0.0548036388123,0.0236393598889,0.0,474.0886720354752,473.32195021496204,473.7172691382512,476.14254809985823
0.6000000000000002,-0.000601320906703,-0.00285383079014,10.2764790769,0.00451166798486,0.0104728567139,0.0,-0.0153802962446,-0.00805551502601,1.12415627974,0.051202649193,0.053170315556,0.0,454.1060970386847,456.4690145121038,454.77868737431305,454.492028436526
0.6600000000000003,-0.00179784805208,-0.00321145526774,10.3510073714,0.00762737578449,0.0136861956711,0.0,-0.0248920752676,-0.00348884375801,1.35986336145,0.0533414502656,0.054315106206,0.0,480.2129226665903,480.30140161340313,478.2602475454528,478.424635670899
0.7200000000000003,-0.00363132170715,-0.0032248662169,10.4387341772,0.0103162281919,0.0166307818693,0.0,-0.0365876560698,0.00339878603645,1.56409798572,0.0163846471382,0.0357225182742,0.0,471.4961972497441,470.0590235128803,471.9365404783078,469.076506484227
0.7800000000000004,-0.00620397517437,-0.0027879328684,10.5370878607,0.0115687922242,0.01858343451,0.0,-0.0493889146568,0.0112870406787,1.71413959418,0.0286122376274,0.0252802718524,0.0,455.061905892008,454.2256968964859,454.7159664000171,455.6943508640377
0.8400000000000004,-0.00958663914626,-0.00184671237635,10.6444936407,0.0131680551139,0.0196363962357,0.0,-0.0635120779545,0.0202662776356,1.86581229416,0.0224196936094,-0.00613707716366,0.0,456.393983915659,453.8796593339133,456.89096866517536,456.3971576452369
0.9000000000000005,-0.0138058519816,-0.000351495344849,10.7596017363,0.0143601293247,0.0199988069632,0.0,-0.0771321073291,0.0297028617726,1.97094622929,0.0142020290246,0.0232156602705,0.0,440.26412349845026,442.6858830283816,442.82380506908424,442.14731624964065
0.9600000000000005,-0.018959147598,0.0018081136386,10.8861293759,0.0158178984505,0.021044099143,0.0,-0.0947951281264,0.0424311619501,2.24613658027,0.039253084,0.00212826071869,0.0,493.1438484365622,491.58374637474924,492.703956992058,494.55247153163833
1.0200000000000005,-0.0251024331916,0.00470557903692,11.024850937,0.0184472584511,0.0212260650457,0.0,-0.109992291821,0.0544138377508,2.37764539616,0.0516737886017,0.00478315489572,0.0,451.55114672691565,451.76519844586284,451.2064195747055,452.20904304920293
1.0800000000000005,-0.0321995426388,0.00841535531638,11.1732208348,0.0218686948133,0.0214834523505,0.0,-0.126601040624,0.06961546451,2.56760155599,0.0660080860836,0.00328427520918,0.0,469.7803773087246,469.66406311285004,469.5694175912969,470.6820406727021
1.1400000000000006,-0.0402864359882,0.0131066483442,11.3323564689,0.0261500199365,0.0224123811912,0.0,-0.143025203006,0.0872162259492,2.7365165805,0.0803345688401,0.0326777033931,0.0,463.4223715054756,465.72696396732596,463.88656422003163,465.0137793589185
1.2000000000000006,-0.0494531631445,0.0190318482613,11.5044702284,0.0304682991777,0.0254406492761,0.0,-0.162849131667,0.110862171227,2.9999287219,0.0446386356495,0.0727009141439,0.0,492.22652286262644,495.18061153572705,493.3540939417024,490.71460206782143
1.2600000000000007,-0.0596545727241,0.0261908955426,11.6831866226,0.0327470321661,0.0295413410237,0.0,-0.177544813505,0.127980547414,2.95737646046,0.019322463026,0.057783496264,0.0,398.95681312416883,397.5964563479241,399.9612554715317,397.6496251207961
